id,pid,ms_subclass,ms_zoning,lot_frontage,lot_area,street,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,misc_val,mo_sold,yr_sold,sale_type,saleprice,neighborhood_Blueste,neighborhood_BrDale,neighborhood_BrkSide,neighborhood_ClearCr,neighborhood_CollgCr,neighborhood_Crawfor,neighborhood_Edwards,neighborhood_Gilbert,neighborhood_Greens,neighborhood_GrnHill,neighborhood_IDOTRR,neighborhood_Landmrk,neighborhood_MeadowV,neighborhood_Mitchel,neighborhood_NAmes,neighborhood_NPkVill,neighborhood_NWAmes,neighborhood_NoRidge,neighborhood_NridgHt,neighborhood_OldTown,neighborhood_SWISU,neighborhood_Sawyer,neighborhood_SawyerW,neighborhood_Somerst,neighborhood_StoneBr,neighborhood_Timber,neighborhood_Veenker,foundation_CBlock,foundation_PConc,foundation_Slab,foundation_Stone,foundation_Wood
109,533352170,60,RL,0.0,13517.0,Pave,0,1,AllPub,CulDSac,Gtl,Sawyer,RRAe,Norm,1,0,6,8,1976,2005,Gable,CompShg,HdBoard,Plywood,BrkFace,2.0,2.0,CBlock,3.0,3.0,No,GLQ,533.0,Unf,0.0,192.0,725.0,GasA,3.0,Y,SBrkr,725.0,754,0,1479.0,0.0,0.0,2,1,3,1,2.0,6,Typ,0,Attchd,1976.0,RFn,2.0,475.0,TA,TA,Y,0,44,0,0,0,0,3,2010,WD ,11.779128505744886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
544,531379050,60,RL,43.0,11492.0,Pave,0,1,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1,0,7,5,1996,1997,Gable,CompShg,VinylSd,VinylSd,BrkFace,2.0,2.0,PConc,4.0,3.0,No,GLQ,637.0,Unf,0.0,276.0,913.0,GasA,3.0,Y,SBrkr,913.0,1209,0,2122.0,1.0,0.0,2,1,4,1,2.0,8,Typ,1,Attchd,1997.0,RFn,2.0,559.0,TA,TA,Y,0,74,0,0,0,0,4,2009,WD ,12.301382825334498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
153,535304180,20,RL,68.0,7922.0,Pave,1,1,AllPub,Inside,Gtl,NAmes,Norm,Norm,1,1,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,1.0,3.0,CBlock,3.0,3.0,No,GLQ,731.0,Unf,0.0,326.0,1057.0,GasA,1.0,Y,SBrkr,1057.0,0,0,1057.0,1.0,0.0,1,0,3,1,2.0,5,Typ,0,Detchd,1953.0,Unf,1.0,246.0,TA,TA,Y,0,52,0,0,0,0,1,2010,WD ,11.59910316121128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
318,916386060,60,RL,73.0,9802.0,Pave,1,1,AllPub,Inside,Gtl,Timber,Norm,Norm,1,0,5,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,None,1.0,2.0,PConc,4.0,3.0,No,Unf,0.0,Unf,0.0,384.0,384.0,GasA,2.0,Y,SBrkr,744.0,700,0,1444.0,0.0,0.0,2,1,3,1,1.0,7,Typ,0,BuiltIn,2007.0,Fin,2.0,400.0,TA,TA,Y,100,0,0,0,0,0,4,2010,WD ,12.066810578196666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
255,906425045,50,RL,82.0,14235.0,Pave,0,1,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1,0,6,8,1900,1993,Gable,CompShg,Wd Sdng,Plywood,None,1.0,2.0,PConc,2.0,4.0,No,Unf,0.0,Unf,0.0,676.0,676.0,GasA,1.0,Y,SBrkr,831.0,614,0,1445.0,0.0,0.0,2,0,3,1,1.0,6,Typ,0,Detchd,1957.0,Unf,2.0,484.0,TA,TA,N,0,59,0,0,0,0,3,2010,WD ,11.83862560460953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
138,535126040,20,RL,137.0,8908.039766702015,Pave,0,1,AllPub,Corner,Gtl,NAmes,PosA,Norm,1,1,6,6,1966,2002,Gable,CompShg,BrkFace,Plywood,None,2.0,2.0,CBlock,3.0,3.0,No,ALQ,247.0,Rec,713.0,557.0,1517.0,GasA,3.0,Y,SBrkr,1888.0,0,0,1888.0,0.0,0.0,2,1,2,1,2.0,6,Mod,1,Attchd,1966.0,Fin,2.0,578.0,TA,TA,Y,0,0,0,0,0,0,6,2010,WD ,12.154779351142624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2827,908186070,180,RM,35.0,3675.0,Pave,1,1,AllPub,Inside,Gtl,Edwards,Norm,Norm,0,0,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,1.0,2.0,PConc,4.0,3.0,Gd,GLQ,547.0,Unf,0.0,0.0,547.0,GasA,2.0,Y,SBrkr,1072.0,0,0,1072.0,1.0,0.0,2,0,2,1,1.0,5,Typ,0,Basment,2005.0,Fin,2.0,525.0,TA,TA,Y,0,44,0,0,0,0,6,2006,New,11.84939770159144,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
145,535154050,20,RL,0.0,12160.0,Pave,0,1,AllPub,Inside,Gtl,NAmes,Norm,Norm,1,1,5,5,1959,1959,Hip,CompShg,Plywood,Plywood,BrkFace,1.0,2.0,CBlock,3.0,3.0,No,Rec,1000.0,Unf,0.0,188.0,1188.0,GasA,0.0,Y,SBrkr,1188.0,0,0,1188.0,1.0,0.0,1,0,3,1,1.0,6,Typ,0,Attchd,1959.0,RFn,2.0,531.0,TA,TA,Y,0,0,0,0,0,0,5,2010,COD,11.863582336583399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1942,535353130,20,RL,0.0,8908.039766702015,Pave,1,1,AllPub,Inside,Gtl,OldTown,Artery,Norm,1,1,5,5,1952,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,1.0,2.0,CBlock,3.0,3.0,No,Rec,292.0,Unf,0.0,632.0,924.0,GasA,1.0,Y,SBrkr,924.0,0,0,924.0,0.0,0.0,1,0,2,1,1.0,6,Typ,0,Detchd,1952.0,Unf,1.0,420.0,TA,TA,Y,0,324,0,0,0,400,6,2007,WD ,11.630708500626612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1956,535426130,60,RL,70.0,11606.0,Pave,0,0,AllPub,Inside,Sev,NAmes,Norm,Norm,1,0,5,5,1969,1969,Gable,CompShg,Plywood,Plywood,BrkFace,1.0,2.0,PConc,4.0,3.0,Av,Rec,650.0,Unf,0.0,390.0,1040.0,GasA,1.0,Y,SBrkr,1040.0,1040,0,2080.0,0.0,1.0,1,2,5,1,0.0,9,Typ,2,Attchd,1969.0,Unf,2.0,504.0,TA,TA,Y,335,0,0,0,0,0,9,2007,WD ,11.813030057420567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
